"Identifiant","Type","Titre","Nom de l'auteur","Commentaire ou description de l'augmentation *","Copyright *","Année de publication *","Fichier média + emplacement","Medium *","Légende","Contenu"
"ART16-AUGM_06","commentaire",,,,"*?",,,,," Ce qui est la définition même du terme “virtuel”."
